category,type,state,percent
Arthritis,long_term_health_condition,NSW,14.7
Arthritis,long_term_health_condition,Vic,13.6
Arthritis,long_term_health_condition,Qld,13.6
Arthritis,long_term_health_condition,SA,18.2
Arthritis,long_term_health_condition,WA,14.3
Arthritis,long_term_health_condition,Tas,20.5
Arthritis,long_term_health_condition,NT,11.2
Arthritis,long_term_health_condition,ACT,13.9
Arthritis,long_term_health_condition,Australia,14.5
Asthma,long_term_health_condition,NSW,8.9
Asthma,long_term_health_condition,Vic,12.9
Asthma,long_term_health_condition,Qld,11.4
Asthma,long_term_health_condition,SA,11.8
Asthma,long_term_health_condition,WA,9.7
Asthma,long_term_health_condition,Tas,12.7
Asthma,long_term_health_condition,NT,7.8
Asthma,long_term_health_condition,ACT,11.5
Asthma,long_term_health_condition,Australia,10.8
Back_problems,long_term_health_condition,NSW,13.9
Back_problems,long_term_health_condition,Vic,14.7
Back_problems,long_term_health_condition,Qld,17.2
Back_problems,long_term_health_condition,SA,17.5
Back_problems,long_term_health_condition,WA,17.6
Back_problems,long_term_health_condition,Tas,20.8
Back_problems,long_term_health_condition,NT,15.2
Back_problems,long_term_health_condition,ACT,16.7
Back_problems,long_term_health_condition,Australia,15.7
Cancer,long_term_health_condition,NSW,1.9
Cancer,long_term_health_condition,Vic,1.4
Cancer,long_term_health_condition,Qld,1.9
Cancer,long_term_health_condition,SA,2.1
Cancer,long_term_health_condition,WA,2.1
Cancer,long_term_health_condition,Tas,2.4
Cancer,long_term_health_condition,NT,1.6
Cancer,long_term_health_condition,ACT,1.0
Cancer,long_term_health_condition,Australia,1.8
Chronic_obstructive_pulmonary_disease,long_term_health_condition,NSW,2.2
Chronic_obstructive_pulmonary_disease,long_term_health_condition,Vic,2.1
Chronic_obstructive_pulmonary_disease,long_term_health_condition,Qld,3.3
Chronic_obstructive_pulmonary_disease,long_term_health_condition,SA,2.7
Chronic_obstructive_pulmonary_disease,long_term_health_condition,WA,2.6
Chronic_obstructive_pulmonary_disease,long_term_health_condition,Tas,3.2
Chronic_obstructive_pulmonary_disease,long_term_health_condition,NT,1.1
Chronic_obstructive_pulmonary_disease,long_term_health_condition,ACT,2.5
Chronic_obstructive_pulmonary_disease,long_term_health_condition,Australia,2.5
Diabetes,long_term_health_condition,NSW,5.1
Diabetes,long_term_health_condition,Vic,5.0
Diabetes,long_term_health_condition,Qld,5.1
Diabetes,long_term_health_condition,SA,7.2
Diabetes,long_term_health_condition,WA,5.2
Diabetes,long_term_health_condition,Tas,6.1
Diabetes,long_term_health_condition,NT,5.7
Diabetes,long_term_health_condition,ACT,3.4
Diabetes,long_term_health_condition,Australia,5.3
Hay_fever_and_allergic_rhinitis,long_term_health_condition,NSW,20.6
Hay_fever_and_allergic_rhinitis,long_term_health_condition,Vic,29.8
Hay_fever_and_allergic_rhinitis,long_term_health_condition,Qld,18.1
Hay_fever_and_allergic_rhinitis,long_term_health_condition,SA,27.6
Hay_fever_and_allergic_rhinitis,long_term_health_condition,WA,27.0
Hay_fever_and_allergic_rhinitis,long_term_health_condition,Tas,26.0
Hay_fever_and_allergic_rhinitis,long_term_health_condition,NT,13.4
Hay_fever_and_allergic_rhinitis,long_term_health_condition,ACT,34.3
Hay_fever_and_allergic_rhinitis,long_term_health_condition,Australia,23.9
Heart_stroke_and_vascular_disease,long_term_health_condition,NSW,4.8
Heart_stroke_and_vascular_disease,long_term_health_condition,Vic,4.8
Heart_stroke_and_vascular_disease,long_term_health_condition,Qld,6.5
Heart_stroke_and_vascular_disease,long_term_health_condition,SA,5.0
Heart_stroke_and_vascular_disease,long_term_health_condition,WA,5.0
Heart_stroke_and_vascular_disease,long_term_health_condition,Tas,8.1
Heart_stroke_and_vascular_disease,long_term_health_condition,NT,4.4
Heart_stroke_and_vascular_disease,long_term_health_condition,ACT,3.4
Heart_stroke_and_vascular_disease,long_term_health_condition,Australia,5.2
Hypertension,long_term_health_condition,NSW,11.0
Hypertension,long_term_health_condition,Vic,12.0
Hypertension,long_term_health_condition,Qld,11.1
Hypertension,long_term_health_condition,SA,13.7
Hypertension,long_term_health_condition,WA,11.3
Hypertension,long_term_health_condition,Tas,16.2
Hypertension,long_term_health_condition,NT,10.2
Hypertension,long_term_health_condition,ACT,12.1
Hypertension,long_term_health_condition,Australia,11.6
Kidney_disease,long_term_health_condition,NSW,0.8
Kidney_disease,long_term_health_condition,Vic,1.0
Kidney_disease,long_term_health_condition,Qld,1.1
Kidney_disease,long_term_health_condition,SA,0.9
Kidney_disease,long_term_health_condition,WA,1.1
Kidney_disease,long_term_health_condition,Tas,2.0
Kidney_disease,long_term_health_condition,NT,1.7
Kidney_disease,long_term_health_condition,ACT,1.3
Kidney_disease,long_term_health_condition,Australia,1.0
Mental_and_behavioural_conditions,long_term_health_condition,NSW,22.2
Mental_and_behavioural_conditions,long_term_health_condition,Vic,25.6
Mental_and_behavioural_conditions,long_term_health_condition,Qld,30.8
Mental_and_behavioural_conditions,long_term_health_condition,SA,28.8
