"Proportion of adults aged 18 years and over by health risk factors (%)"
,"NSW","Vic","Qld","SA","WA","Tas","NT","ACT"
"Australian Adult Alcohol Guideline 2020: Exceeded guideline","25.2","24.3","29.4","29.3","29.9","28.9","31.1","27.4"
"Daily consumption of fruit: Did not meet recommendation","54.2","55.3","57.1","58.3","56.2","58.7","59.9","58.6"
"Daily consumption of vegetables: Did not meet recommendation","93.2","93.6","94.9","92.2","92.3","89.1","93.9","92.3"
"High measured blood pressure","23.8","23.9","20.0","26.9","24.2","29.2","19.6","22.6"
"Current daily smoker","10.0","9.3","14.0","9.7","10.5","12.4","13.5","5.9"
"Current daily e-cigarette/vaping device use","4.8","3.8","3.3","4.4","4.2","2.2","2.8","3.2"
"Measured waist circumference: Total increased risk/Substantially increased risk","65.5","67.0","70.3","69.7","70.8","73.4","68.4","64.0"
"Overweight","63.1","65.3","68.8","68.0","68.0","70.5","63.8","64.0"

"Source: Australian Bureau of Statistics, National Health Survey: State and territory findings 2022"
